Series_Title,Release,Genre,IMDB_Rating,Director
The Shawshank Redemption,1994,Drama,9.3,Frank Darabont
The Godfather,1972,Crime,9.2,Francis Ford Coppola
The Dark Knight,2008,Action,9,Christopher Nolan
The Godfather: Part II,1974,Crime,9,Francis Ford Coppola
12 Angry Men,1957,Crime,9,Sidney Lumet
The Lord of the Rings: The Return of the King,2003,Action,8.9,Peter Jackson
Pulp Fiction,1994,Crime,8.9,Quentin Tarantino
Schindler's List,1993,Biography,8.9,Steven Spielberg
Inception,2010,Action,8.8,Christopher Nolan
Fight Club,1999,Drama,8.8,David Fincher
The Lord of the Rings: The Fellowship of the Ring,2001,Action,8.8,Peter Jackson
Forrest Gump,1994,Drama,8.8,Robert Zemeckis
"Il buono, il brutto, il cattivo",1966,Western,8.8,Sergio Leone
The Lord of the Rings: The Two Towers,2002,Action,8.7,Peter Jackson
The Matrix,1999,Action,8.7,Lana Wachowski
Goodfellas,1990,Biography,8.7,Martin Scorsese
Star Wars: Episode V - The Empire Strikes Back,1980,Action,8.7,Irvin Kershner
One Flew Over the Cuckoo's Nest,1975,Drama,8.7,Milos Forman
Hamilton,2020,Biography,8.6,Thomas Kail
Gisaengchung,2019,Comedy,8.6,Bong Joon Ho
Soorarai Pottru,2020,Drama,8.6,Sudha Kongara
Interstellar,2014,Adventure,8.6,Christopher Nolan
Cidade de Deus,2002,Crime,8.6,Fernando Meirelles
Sen to Chihiro no kamikakushi,2001,Animation,8.6,Hayao Miyazaki
Saving Private Ryan,1998,Drama,8.6,Steven Spielberg
The Green Mile,1999,Crime,8.6,Frank Darabont
La vita è bella,1997,Comedy,8.6,Roberto Benigni
Se7en,1995,Crime,8.6,David Fincher
The Silence of the Lambs,1991,Crime,8.6,Jonathan Demme
Star Wars,1977,Action,8.6,George Lucas
Seppuku,1962,Action,8.6,Masaki Kobayashi
Shichinin no samurai,1954,Action,8.6,Akira Kurosawa
It's a Wonderful Life,1946,Drama,8.6,Frank Capra
Joker,2019,Crime,8.5,Todd Phillips
Whiplash,2014,Drama,8.5,Damien Chazelle
The Intouchables,2011,Biography,8.5,Olivier Nakache
The Prestige,2006,Drama,8.5,Christopher Nolan
The Departed,2006,Crime,8.5,Martin Scorsese
The Pianist,2002,Biography,8.5,Roman Polanski
Gladiator,2000,Action,8.5,Ridley Scott
American History X,1998,Drama,8.5,Tony Kaye
The Usual Suspects,1995,Crime,8.5,Bryan Singer
Léon,1994,Action,8.5,Luc Besson
The Lion King,1994,Animation,8.5,Roger Allers
Terminator 2: Judgment Day,1991,Action,8.5,James Cameron
Nuovo Cinema Paradiso,1988,Drama,8.5,Giuseppe Tornatore
Hotaru no haka,1988,Animation,8.5,Isao Takahata
Back to the Future,1985,Adventure,8.5,Robert Zemeckis
Once Upon a Time in the West,1968,Western,8.5,Sergio Leone
Psycho,1960,Horror,8.5,Alfred Hitchcock
Casablanca,1942,Drama,8.5,Michael Curtiz
Modern Times,1936,Comedy,8.5,Charles Chaplin
City Lights,1931,Comedy,8.5,Charles Chaplin
Capharnaüm,2018,Drama,8.4,Nadine Labaki
Ayla: The Daughter of War,2017,Biography,8.4,Can Ulkay
Vikram Vedha,2017,Action,8.4,Gayatri
Kimi no na wa.,2016,Animation,8.4,Makoto Shinkai
Dangal,2016,Action,8.4,Nitesh Tiwari
Spider-Man: Into the Spider-Verse,2018,Animation,8.4,Bob Persichetti
Avengers: Endgame,2019,Action,8.4,Anthony Russo
Avengers: Infinity War,2018,Action,8.4,Anthony Russo
Coco,2017,Animation,8.4,Lee Unkrich
Django Unchained,2012,Drama,8.4,Quentin Tarantino
The Dark Knight Rises,2012,Action,8.4,Christopher Nolan
3 Idiots,2009,Comedy,8.4,Rajkumar Hirani
Taare Zameen Par,2007,Drama,8.4,Aamir Khan
WALL·E,2008,Animation,8.4,Andrew Stanton
The Lives of Others,2006,Drama,8.4,Florian Henckel von Donnersmarck
Oldeuboi,2003,Action,8.4,Chan-wook Park
Memento,2000,Mystery,8.4,Christopher Nolan
Mononoke-hime,1997,Animation,8.4,Hayao Miyazaki
Once Upon a Time in America,1984,Crime,8.4,Sergio Leone
Raiders of the Lost Ark,1981,Action,8.4,Steven Spielberg
The Shining,1980,Drama,8.4,Stanley Kubrick
Apocalypse Now,1979,Drama,8.4,Francis Ford Coppola
Alien,1979,Horror,8.4,Ridley Scott
Anand,1971,Drama,8.4,Hrishikesh Mukherjee
Tengoku to jigoku,1963,Crime,8.4,Akira Kurosawa
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Comedy,8.4,Stanley Kubrick
Witness for the Prosecution,1957,Crime,8.4,Billy Wilder
Paths of Glory,1957,Drama,8.4,Stanley Kubrick
Rear Window,1954,Mystery,8.4,Alfred Hitchcock
Sunset Blvd.,1950,Drama,8.4,Billy Wilder
The Great Dictator,1940,Comedy,8.4,Charles Chaplin
1917,2019,Drama,8.3,Sam Mendes
Tumbbad,2018,Drama,8.3,Rahi Anil Barve
Andhadhun,2018,Crime,8.3,Sriram Raghavan
Drishyam,2013,Crime,8.3,Jeethu Joseph
Jagten,2012,Drama,8.3,Thomas Vinterberg
Jodaeiye Nader az Simin,2011,Drama,8.3,Asghar Farhadi
Incendies,2010,Drama,8.3,Denis Villeneuve
Miracle in cell NO.7,2019,Drama,8.3,Mehmet Ada Öztekin
Babam ve Oglum,2005,Drama,8.3,Çagan Irmak
Inglourious Basterds,2009,Adventure,8.3,Quentin Tarantino
Eternal Sunshine of the Spotless Mind,2004,Drama,8.3,Michel Gondry
Amélie,2001,Comedy,8.3,Jean-Pierre Jeunet
Snatch,2000,Comedy,8.3,Guy Ritchie
Requiem for a Dream,2000,Drama,8.3,Darren Aronofsky
American Beauty,1999,Drama,8.3,Sam Mendes